wind	45439828724023296	199.6
潇洒走一回在人间	45644160409010177	348.3
T妞不哭	45646536150876164	35.7
志明志11	45738364472655879	56.6
明哥在路上在路上	47165991775371267	909.4
阿迪	47570244130045952	10.1
steven 123	47815666656346114	13.8
martin	48182970455949312	12.6
mengzhu929	52283369957883905	4
无名	55521299409141760	2
hahaq	61707421701111808	6.3
我在这里	69376562725650435	2
adfafdaf	69378910961270784	1
adfafdafadf	69382702406565888	1
1234	69384883562086400	1
lajklfjlkasjdk	69388029998923776	1.1
云间树色	82713312101400576	15.8
link修复用户4381	83323125885829121	3
fish	83751534394867715	206.8
link修复用户1234	90657798932660224	1
link修复用户5268	90659118125154305	1
link修复用户5249	90659726030798850	1
link修复用户6625	90661091352248320	1
link修复用户3423	90666493078929408	1
link修复用户6531	90667959445356544	1
good	92021619551109121	4.1
游客	92536654111178752	21
blue	93155847206600704	3.1
zfp12345	98601608895528962	14.4
小金鱼_262220	99007860423262220	1
用户2126299135	99009310033444881	1
炒炒豆芽856597	99016315896856597	1
天白才痴	99019553106821142	11
炒炒豆芽	99029483792629783	1
天白才痴164230	100426874538164230	7
小金鱼_213568	100438224895213568	1
炒炒豆芽839040	101074936570839040	0.1
范小明-青驿	101559863632461824	13
hunter_461896	108039841815461896	0.2
Bug帝	108110187147034628	1
yaaaali	108126325713141765	4.4
用户	108470273186988039	1
华_722369	108675495905722369	0.1
用户5253590847_981507	108679250264981507	1
用户_344004	108688421945344004	1
用户_229952	108751451903229952	1
123456789	109169174156148738	1
青驿测试	109595257313689603	2
link修复用户4970	109837199935012869	25
我的心情永不立冬	109942900317487109	21
淡定姐	110519365593464851	5
  华_683481	110583111489683481	1
用户5253590847	110589779594182684	1
AG_452288	110630281085452288	0.2
Bowi	110863884545425408	11
33~	110866595496067074	0.1
会飞的鱼	111008041964404750	15
  华_562063	111030423202562063	2.2
用户_017559	111240933630017559	1
华_495680	111364711047495680	0.1
用户_609665	112375972090609665	1
lidonghaha	112402399108268035	15.1
AG_057095	112434429284057095	1
华_530441	112694291104530441	2.7
炒炒豆芽_926402	113112956429926402	191.1
bowi_hlh	113140523581046787	0.7
link修复用户3615	115305441805729795	1
123456789hjji	115567756052529157	4.7
AG_030150	115664494625030150	1
Mr面具	117478128779001856	1.5
小贱贱	118108083892256768	0.4
李栋_526145	122808622219526145	1
哈哈哈	122815974394036226	3.5
用户1	123271649276461056	2.7
AG_469836	123917439099469836	2
AG_452813	123918292405452813	10
AG_135376	123919648277135376	1
江华江华啊	125088008457158659	1
华_281608	126086610000281608	0.7
用户_2519189	127896794016251918	0.5
我的心情永不立冬_894035	128698935479894035	1
用户_047812	131334426285047812	8.1
用户_607241	131513560944607241	3.5
刘鹏卫67	131579921020485644	4.7
用户_646221	131590219479646221	1
用户_685007	131593290217685007	3
用户_876242	131602676893876242	1
bjtam	131635744576897024	3.1
一二12345678三四	131641331888947202	21
用户_990156	131690822729990156	1.5
青驿网_864591	131696073507864591	0.1
不着调的毛头tg15	131943360389709842	3.7
qqqqq_	133417798377406464	202.7
用户_751552	134497716825751552	2
iOS测试buglist备注列表	135147360807288832	24.7
用户_587715	135872611417587715	1.4
毛头小子	135950881236451328	5.9
咋不上天	136227807968624640	1.3
AG_056002	136228352557056002	2
灌水	137027357939597315	2
jobs测试2	137033558878322693	8.5
Mr面具_575497	137051704800575497	1.1
Steven	137486187064459277	1.5
毛头小子_574849	139605498394574849	1.2
gfsg	145657566569955328	0.9
挖掘机	148624812472795136	2
Kkk	151218502965919751	0.1
AG_313362	151456554464313362	0.2
青驿管家	151524659265798165	132.7
巴黎大	151540414736760832	0.1
梅森	151838024852832256	1.6
小金鱼	151916120549359617	1
天白才痴_847682	151919320555847682	6
小金鱼_171524	152172835656171524	1.1
好想艾特你	153009997909852162	48.7
小兔子	155499236610277377	48.7
12345678ethic	160612210157027329	5.4
用户_676480	165590844550676480	8.9
日月易	166089142634020864	9.2
日月易_720640	166404798692720640	2
小小小鱼	166444434446090240	51.7
Q2	179777302060597248	5.8
Q4	183437769815621636	4.6
小金鱼_700160	184083955748700160	0.1
hg_677185	184203974419677185	1.2
AG_098820	185243443256098820	1
炒炒豆芽_872721	185264791516872721	0.1
用户_766786	189516343131766786	1.1
炒炒豆芽12345678	191031672966217728	1
hg_992846	194218199279992846	12.4
___sean____032335	194365240975032335	3.1
01_052883	195416706582052883	26.2
发条兔子	198979029276033046	1
发条豹	198990600911978519	3
发条豹_861440	202638505740861440	0.3
园ww	217537966610841601	0.4
123123	221761313108393984	1.1
ls_test0916	222884667282423808	0.2
有时候	224434186683940868	1.3
link修复用户4937	231914635127685124	1
昵称一定要	238175908408590339	8.6
AG_532800	254157544803532800	0.2
gfsg_618048	258466873551618048	0.1
01_12966423	308808291046129664	18.1
hg_929155131	318929201530929154	36.1
link修复用户9535	329866454218309634	1
点点	334442847891619841	0.1
Link管理	337393518769078272	171.5
用户_644928	341864677195644928	0.1
link修复用户2460	351254568291532800	1
曾经爱过你画	369620613737742336	9.4
哇哈哈哈	371435815345061888	26.6
江华_哈哈2	371878245122965505	13.9
一次就可以了	371893804170477570	3.1
link修复用户4707	371893866061627395	1
hao123	372144830081400836	1
llllll	378738774256910339	1
dddddddd	378779848014823430	2.9
江华_614976	390715325311614976	5.9
圣诞老人与海	391088458694656000	27
Link测试	391767694703067136	10.2
发条	411778184275558400	2
01_244545	423345250363244545	1
LinkCky账号	425124602092453888	6.5
123321	425433758808670209	1
哈哈呀	425466533884461059	1
01_708800	425527933717708800	1
01_174401	425528859715174401	1
01_286914	425529472725286914	8
CodeKissYoung_163587	425531493092163587	1
用户_798148	425531592769798148	1
彦_947205	425531756720947205	1
不一样的烟火	429044052390838272	1
Link244	429045514223222784	1
Link微信账号	429135719894614016	4
stereo	429457560769134593	5.7
CodeKissYoung_569792	438105463473569792	1.2
___sean____600256	438161118389600256	1
SHUN_1959691	438164529210195969	1.7
plodding	438166814040522752	1
mr_leo	442083723375017984	37.7
leo_test	442085577995583488	3.3
leo_测试一号	442177736924987392	7
leo_测试二号	442518342691979264	6.6
哈哈981344	442959505983012864	1
测试行程新注册	462746932427620352	1
